date,duration_min,deep_min,rem_min,light_min,awake_min
2026-03-17,480.0,90.0,110.0,250.0,30.0
2026-02-10,343.0,85.0,63.0,195.0,21.0
2026-02-12,471.0,76.0,102.0,293.0,12.0
2026-02-13,463.0,91.0,43.0,329.0,12.0
2026-02-14,421.0,117.0,59.0,245.0,19.0
2026-02-15,307.0,38.0,31.0,238.0,99.0
2026-02-16,420.0,69.0,47.0,304.0,67.0
2026-02-17,348.0,79.0,40.0,229.0,87.0
2026-02-18,420.0,41.0,44.0,335.0,56.0
2026-02-19,396.0,67.0,81.0,248.0,78.0
2026-02-20,487.0,71.0,80.0,336.0,30.0
2026-02-21,500.0,92.0,103.0,305.0,27.0
2026-02-22,495.0,106.0,87.0,302.0,58.0
2026-02-23,599.0,142.0,135.0,322.0,1.0
2026-02-24,611.0,79.0,169.0,363.0,7.0
2026-02-25,571.0,115.0,143.0,313.0,34.0
2026-02-26,566.0,102.0,104.0,360.0,11.0
2026-03-01,549.0,82.0,121.0,346.0,16.0
2026-03-02,487.0,108.0,119.0,260.0,1.0
2026-03-03,599.0,106.0,139.0,354.0,11.0
2026-03-04,524.0,110.0,93.0,321.0,9.0
2026-03-05,414.0,59.0,111.0,244.0,9.0
2026-03-06,191.0,69.0,15.0,107.0,14.0
2026-03-10,341.0,124.0,37.0,180.0,1.0
2026-03-11,490.0,109.0,116.0,265.0,0.0
2026-03-12,413.0,115.0,70.0,228.0,1.0
2026-03-15,490.0,116.0,67.0,307.0,6.0
2026-03-16,490.0,72.0,79.0,339.0,2.0
